"","violation_code","violation_description","count"
"1","0976160","EXPIRED PLATE OR TEMPORARY REGISTRATION",1863812
"2","0964040","STREET CLEANING",985106
"3","0964190","EXPIRED METER OR OVERSTAY",824807
"4","0964090","RESIDENTIAL PARKING PERMIT",785695
"5","0964125","NO CITY STICKER OR IMPROPER DISPLAY",676538
"6","0964150B","PARKING/STANDING PROHIBITED ANYTIME",591579
"7","0964080A","RUSH HOUR PARKING",487449
"8","0964190A","EXP. METER NON-CENTRAL BUSINESS DISTRICT",357458
"9","0964140","PARK OR STAND IN BUS/TAXI/CARRIAGE STAND",199950
"10","0964080B","NO STANDING/PARKING TIME RESTRICTED",191667
"11","0964100A","WITHIN 15' OF FIRE HYDRANT",170173
"12","0964170A","TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",117977
"13","0964190B","EXPIRED METER CENTRAL BUSINESS DISTRICT",115502
"14","0976220","OBSTRUCTED OR IMPROPERLY TINTED WINDOWS",111487
"15","0964130","PARK OR BLOCK ALLEY",83935
"16","0964110A","DOUBLE PARKING OR STANDING",81692
"17","0964110C","PARK OR STAND ON CROSSWALK",62236
"18","0964050","DISABLED PARKING",53680
"19","0980110","HAZARDOUS DILAPIDATED VEHICLE",53333
"20","0964020B","OBSTRUCT ROADWAY",50196
"21","0964160","CURB LOADING ZONE",47596
"22","0964100G","STOP SIGN OR TRAFFIC SIGNAL",40391
"23","0964110D","PARK OR STAND ON SIDEWALK",37266
"24","0976180","SAFETY BELTS REQUIRED",35883
"25","0964100C","BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE",32706
"26","0964060","3-7 AM SNOW ROUTE",31402
"27","0964020A","WRONG DIRECTION OR 12'' FROM CURB",21480
"28","0980080A","PARK VEHICLE SOLE PURPOSE OF DISPLAYING FOR SALE",20870
"29","0912060","STAND, PARK, OR OTHER USE OF BUS LANE",18285
"30","0964100D","DISABLED CURB CUT",17959
"31","0976210B","WINDOWS MISSING OR CRACKED BEYOND 6",17344
"32","0964200B","OUTSIDE METERED SPACE",17068
"33","0964170B","TRUCK,MOTOR HOME, BUS BUSINESS STREET",13175
"34","0964110E","PARK OR STAND ON PARKWAY",11684
"35","0980120B","NO PARK IN PRIVATE LOT",8852
"36","0964110G","PARK OR STAND IN VIADUCT/UNDERPASS",8349
"37","0964100F","20'OF CROSSWALK",8228
"38","0964070","SNOW ROUTE: 2in OF SNOW OR MORE",6581
"39","0980130A","FAIL TO PAY OR OUTSIDE SPACE IN CITY LOT",6507
"40","0964170D","TRUCK TRAILOR/SEMI/TRAILER PROHIBITED",6040
"41","0980130B","PARK IN CITY LOT WHEN CLOSED",5966
"42","0964030B","OUTSIDE DIAGONAL MARKINGS",5509
"43","0964041","SPECIAL EVENTS RESTRICTION",5509
"44","0964100B","PARK IN FIRE LANE",3806
"45","0964091","INDUSTRIAL PERMIT PARKING",3608
"46","0976150B","BURGLAR ALARM SOUNDING OVER 4 MINUTES",3183
"47","0964120A","PARK OR STAND ON CITY PROPERTY",3054
"48","0964180","NO PARKING IN LOOP",2761
"49","0940060","PARK/STAND ON BICYCLE PATH",2682
"50","0976050B","TWO HEAD LAMPS REQUIRED VISIBLE 1000'",2604
"51","0980120A","NO PARK IN PUBLIC LOT",2231
"52","0940080","PARKED/STANDING UNATTENDED W/MOTOR RUNNI",2102
"53","0976210A","LAMPS BROKEN OR INOPERABLE",1926
"54","0964120B","PARK OR STAND ON CHA PROPERTY",1693
"55","0940170","UNSAFE CONDITION",1553
"56","0980080B","PARK VEHICLE TO GREASE OR REPAIR",1212
"57","0976050C","RED REAR LAMP REQUIRED VISIBLE 500'",1195
"58","0976120","REAR VIEW MIRROR REQUIRED",1080
"59","0976170","NO CITY STICKER OR IMPROPER DISPLAY",1065
"60","0976050D","REAR PLATE LIT AND LEGIBLE FOR 50'",1047
"61","0964100E","UNDER FIRE ESCAPE",1044
"62","0964110F","PARK OR STAND ON BRIDGE",964
"63","0964170C","VEH 6' OR HIGHER WITHIN 20' OF CROSSWALK",847
"64","0980080C","PARK VEHICLE TO SELL MERCHANDISE",656
"65","0964110B","PARK OR STAND WITHIN INTERSECTION",622
"66","0964210","FAIL TO DISPLAY TV NEWS PERMIT",553
"67","0976110A","PROPER FRONT AND REAR BUMPERS REQUIRED",508
"68","0980130C","PARK IN CITY LOT OVER 30 DAYS",373
"69","0976140A","NO OR IMPROPER MUFFLER",346
"70","0976040","USE OF SIREN/BELL/WHISTLE PROHIBITED",324
"71","0964110H","PARK OR STAND ON OR WITHIN 10' RR TRACKS",310
"72","0940220","NO OPERATOR SIGNAL",267
"73","0976200B","PROJECTING LOAD (REAR)",244
"74","0976200A","PROJECTING LOAD (LEFT OR RIGHT SIDE)",183
"75","0964150A","PARK OR STAND NEAR FIRE STATION OR RR XX",176
"76","0964100H","THEATER ENTRANCE/EXIT",156
"77","0964160C","NO DISPLAY OF BACK-IN PERMIT",154
"78","0976080","IMPROPER LAMPS NON-MOTOR VEHICLE",124
"79","0976020A","SERVICE BRAKES:STOPPING CAPABILITY",121
"80","0976140B","EXCESS FUMES/SMOKE DURING OPERATION",98
"81","0976090B","IMPROPER LAMP FOR PARKED VEH ON UNLIT ST",95
"82","0968040","PARK/STAND IN WRIGLEY BUS PERMIT ZONE",89
"83","0976020B","HAND BRAKES:PROPER STOPPING CAPABILITY",88
"84","0976100A","SUSPENSION MODIFIED BEYOND 3",85
"85","0976050A","MOTORCYCLE HEAD LAMP VISIBLE 500'",68
"86","0976050E","2 REAR TRAILER LAMPS REQ'D VISIBLE 500'",56
"87","0976190","COMMERCIAL IDENTIFICATION ETC. REQUIRED",43
"88","0976090C","DEPR./DIMMED LAMPS",40
"89","0976070A","IMPROPER SIDE COWL/FENDER LAMPS",39
"90","0976020E","BRAKES REQUIRED IN GOOD WORKING ORDER",27
"91","0964050J*","INVALID PLACARD",24
"92","0976030","WINDSHIELD WIPERS REQUIRED",23
"93","0976130","TWO RED REAR TRAILER REFLECTORS REQUIRED",17
"94","0976010","BRAKES REQUIRED DURING OPERATION",12
"95","0976060A","MORE THAN ONE OR IMPROPER SPOT LAMP",10
"96","0976070B","IMPROPER RUNNING BOARD LAMPS",10
"97","0976060B","MORE THAN THREE OR IMPROPER AUX LAMP",8
"98","0976020C","ANTIQ VEH BRAKES:STOPPING CAPABILITY",4
"99","0976070D","MORE THAN FOUR FRONT MOUNTED LAMPS",4
"100","0976070C","BACK-UP LAMP LIT DURING OPERATION",3
"101","0976200C","SAFETY CHAINS REQUIRED",3
"102","0980220","IMPOUNDED: TEMP REG FALSE,STOLEN,ALTERED",1
